order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
5762999,1,prior,1,2,8,
5770554,1,prior,2,3,7,15
5769687,1,prior,3,3,12,21
5753289,1,prior,4,4,7,29
5749777,1,prior,5,4,15,28
5749604,1,prior,6,2,7,19
5748473,1,prior,7,1,9,20
5743290,1,prior,8,1,14,14
5717474,1,prior,9,1,16,0
5698103,1,prior,10,4,8,30
5679183,1,train,11,4,8,14
5656122,2,prior,1,2,11,
5655611,2,prior,2,5,10,10
5636693,2,prior,3,1,10,3
5636691,2,prior,4,2,10,8
5628454,2,prior,5,3,11,8
5615292,2,prior,6,2,9,13
5605229,2,prior,7,2,12,14
5588301,2,prior,8,1,15,27
5570890,2,prior,9,2,9,8
5570580,2,prior,10,1,11,6
5566657,2,prior,11,1,10,30
5491031,2,prior,12,1,9,28
5487386,2,prior,13,4,11,30
5470996,2,prior,14,3,10,13
5467749,2,train,15,1,11,30
5442234,3,prior,1,1,14,
5427949,3,prior,2,3,19,9
5404550,3,prior,3,3,16,21
5379860,3,prior,4,2,18,20
5376024,3,prior,5,0,17,12
5366020,3,prior,6,0,16,7
5366006,3,prior,7,0,15,7
5352987,3,prior,8,0,17,7
5350749,3,prior,9,0,16,7
5335622,3,prior,10,3,16,17
5334018,3,prior,11,0,18,11
5311167,3,prior,12,1,15,15
5307301,3,train,13,5,15,11
5298969,4,prior,1,6,11,
5291286,4,prior,2,4,11,19
5291015,4,prior,3,4,15,21
5289763,4,prior,4,5,13,15
5283702,4,prior,5,5,13,0
5275460,4,test,6,3,12,30
5272523,5,prior,1,3,12,
5257281,5,prior,2,0,16,11
5245384,5,prior,3,3,18,10
5216418,5,prior,4,1,18,19
5214957,5,test,5,0,11,6
5202526,6,prior,1,5,18,
5194270,6,prior,2,4,16,6
5193870,6,prior,3,2,18,12
5193648,6,test,4,3,16,22
5184337,7,prior,1,3,9,
5149017,7,prior,2,1,19,30
5146425,7,prior,3,0,18,30
5134067,7,prior,4,2,10,9
5123067,7,prior,5,5,18,3
5121122,7,prior,6,1,18,10
5103148,7,prior,7,1,15,7
5101991,7,prior,8,2,12,8
5092029,7,prior,9,6,7,4
5081710,7,prior,10,1,20,9
5004112,7,prior,11,0,15,6
5000266,7,prior,12,0,14,7
4994918,7,prior,13,5,15,5
4980800,7,prior,14,1,13,17
4979055,7,prior,15,3,16,2
4973382,7,prior,16,0,13,11
4971948,7,prior,17,0,10,28
4969446,7,prior,18,0,9,7
4968010,7,prior,19,3,12,3
4967822,7,prior,20,3,9,7
4964403,7,train,21,2,11,6
4961586,8,prior,1,6,0,
4956320,8,prior,2,1,8,30
4952493,8,prior,3,5,0,30
4949596,8,test,4,1,14,10
4910739,9,prior,1,1,17,
4889415,9,prior,2,0,14,6
4889021,9,prior,3,5,12,30
4888865,9,test,4,6,10,30
4888852,10,prior,1,2,14,
4887425,10,prior,2,5,15,30
4887384,10,prior,3,3,19,12
4886708,10,prior,4,3,15,14
4879630,10,prior,5,5,20,23
4872849,10,train,6,0,19,30
4865678,11,prior,1,0,11,
4862167,11,prior,2,5,11,12
4860113,11,prior,3,5,10,14
4856210,11,test,4,5,13,30
4853981,12,prior,1,5,11,
4850123,12,prior,2,5,11,7
4847156,12,prior,3,5,9,30
4846019,12,prior,4,6,11,8
4844527,12,prior,5,1,12,3
4842806,12,prior,6,5,9,30
4842667,12,prior,7,5,8,14
4839890,12,prior,8,3,9,26
4837592,12,train,9,1,9,30
4835471,13,prior,1,1,20,
4834236,13,prior,2,6,12,4
4832765,13,prior,3,0,11,8
4832475,13,prior,4,6,21,6
4829935,13,prior,5,1,12,9
4829319,13,prior,6,0,13,6
4828536,13,prior,7,0,18,7
4828001,13,prior,8,0,8,7
4827758,13,train,9,6,18,13
4827559,14,prior,1,6,17,
4826460,14,prior,2,6,22,7
4826350,14,test,3,0,14,8
4825240,15,prior,1,6,13,
4824673,15,train,2,0,21,8
4823327,16,prior,1,2,18,
4822739,16,prior,2,5,8,30
4822568,16,prior,3,0,14,2
4821357,16,test,1,6,8,20
4818487,17,prior,1,5,8,
4817064,17,prior,2,1,8,30
4816865,17,prior,3,5,10,30
4816425,17,train,4,4,8,27
4815018,18,prior,1,5,9,
4814903,18,prior,2,4,21,30
4814506,18,prior,3,1,5,25
4813946,18,prior,4,5,9,4
4813102,18,train,5,5,5,7
4812086,19,prior,1,2,19,
4812038,19,prior,2,5,13,12
4811960,19,prior,3,6,12,15
4810970,19,prior,4,6,12,7
4810763,19,prior,5,1,11,16
4810579,19,train,6,4,15,17
4809446,20,prior,1,5,11,
4809392,20,prior,2,1,11,17
4807876,20,prior,3,2,17,8
4807436,20,prior,4,2,13,7
4807409,20,prior,5,2,10,21
4806930,20,prior,6,2,9,14
4806567,20,prior,7,1,8,6
4806142,20,prior,8,1,10,14
4805467,20,prior,9,1,10,14
4805396,20,prior,10,1,9,7
4804007,20,prior,11,1,9,7
4803609,20,prior,12,2,16,8
4803197,20,prior,13,2,11,7
4801717,20,prior,14,5,11,3
4801694,20,train,15,1,13,10
4801378,21,prior,1,1,9,
4799873,21,prior,2,1,10,14
4799785,21,prior,3,1,9,7
4799758,21,prior,4,2,8,16
4799710,22,prior,1,1,13,
4799679,22,prior,2,1,20,21
4799564,22,prior,3,6,14,12
4798803,22,prior,4,2,14,30
4798712,22,test,5,0,14,26
4798378,23,prior,1,0,13,
4798230,23,prior,2,2,13,7
4798190,23,prior,3,5,10,3
4796883,23,prior,4,3,10,5
4796558,23,prior,5,1,14,5
4795225,23,train,6,6,17,5
4793542,24,prior,1,4,17,
4792845,24,prior,2,1,13,4
4792298,24,prior,3,0,15,6
4791287,24,prior,4,3,13,3
4791173,24,train,5,0,15,4
4791098,25,prior,1,4,15,
4791034,25,prior,2,2,14,5
4790861,25,train,3,1,13,6
4790709,26,prior,1,6,17,
4790657,26,prior,2,2,16,3
4790457,26,prior,3,1,12,6
4789113,26,prior,4,5,21,4
4788905,26,test,5,6,12,8
4788486,27,prior,1,5,11,
4787604,27,prior,2,5,13,7
4786975,27,prior,3,2,12,4
4786320,27,prior,4,6,16,4
4786001,27,prior,5,3,23,4
4785914,27,prior,6,1,10,5
4785547,27,train,7,0,11,6
4784241,28,prior,1,5,17,
4783089,28,prior,2,4,10,6
4783076,28,test,3,1,9,4
4782112,29,prior,1,6,14,
4781406,29,prior,2,6,15,5
4781322,29,prior,3,4,12,5
4781257,29,prior,4,1,22,4
4781143,29,prior,5,3,11,9
4780978,29,train,6,5,12,16
4780885,30,prior,1,6,13,
4780258,30,prior,2,3,12,30
4778958,30,prior,3,2,12,13
4778652,30,prior,4,1,15,30
4778254,30,prior,5,5,16,11
4777736,30,prior,6,4,11,27
4776945,30,prior,7,3,10,30
4776348,30,prior,8,6,18,5
4776254,30,train,9,0,17,1
4775009,31,prior,1,1,19,
4774849,31,prior,2,0,16,6
4773476,31,prior,3,2,16,9
4772718,31,test,4,6,12,4
4772330,32,prior,1,6,9,
4771710,32,prior,2,6,13,7
4771508,32,prior,3,5,14,6
4770916,32,prior,4,0,14,16
4770915,32,prior,5,5,12,5
4770571,32,prior,6,6,12,8
4768794,32,prior,7,5,13,20
4768760,32,train,8,4,17,6
4768421,33,prior,1,4,4,
4767315,33,test,2,5,16,8
4764908,34,prior,1,6,17,
4764513,35,prior,1,1,10,
4763098,35,prior,2,3,16,2
4761629,35,test,3,2,11,6
4760402,36,prior,1,2,11,
4758987,36,prior,2,1,11,30
4758901,36,prior,3,1,10,15
4758342,36,prior,4,1,9,7
4757675,36,train,5,1,13,7
4757193,37,prior,1,1,14,
4757046,37,prior,2,1,14,7
4756558,37,prior,3,5,6,4
4755890,37,prior,4,5,9,28
4755747,37,train,5,2,13,18
4754703,38,prior,1,4,10,
4754679,38,prior,2,3,10,6
4753610,38,prior,3,1,15,12
4753190,38,prior,4,1,9,21
4752721,38,prior,5,5,11,4
4752629,38,prior,6,1,9,10
4752486,38,train,7,1,9,7
4752260,39,prior,1,1,11,
4751684,39,prior,2,2,15,1
4750112,39,prior,3,2,11,21
4750007,39,prior,4,3,9,8
4749690,39,prior,5,1,10,12
4748190,39,prior,6,1,9,7
4744772,39,prior,7,3,9,9
4744278,39,prior,8,2,13,6
4744170,39,train,9,5,8,3
4742259,40,prior,1,5,8,
4742205,40,prior,2,1,11,10
4741948,40,prior,3,3,8,9
4740112,40,prior,4,1,9,5
4739442,40,prior,5,2,9,8
4739080,40,prior,6,1,11,6
4738915,40,prior,7,3,15,9
4735581,40,prior,8,1,13,12
4735553,40,prior,9,1,12,30
4735410,40,prior,10,1,12,28
4734285,40,prior,11,3,7,5
4733762,40,prior,12,3,7,30
4732718,40,prior,13,0,21,4
4732517,40,prior,14,3,11,30
4730598,40,train,15,5,21,16
4729835,41,prior,1,1,19,
4728496,41,prior,2,6,17,5
4727810,41,prior,3,5,9,13
4726958,41,prior,4,5,15,28
4726883,41,prior,5,3,19,5
4725639,41,prior,6,5,12,2
4724228,41,train,7,0,8,2
4721098,42,prior,1,5,10,
4719449,42,prior,2,1,19,3
4718397,42,prior,3,4,10,30
4718325,42,prior,4,5,6,1
4718140,42,prior,5,5,14,4
4717695,42,prior,6,0,10,9
4716659,42,prior,7,5,12,5
4716403,42,prior,8,3,11,30
4713965,42,prior,9,1,12,30
4713875,42,prior,10,3,20,12
4712890,42,test,11,6,16,3
4710204,43,prior,1,3,21,
4709521,43,prior,2,6,10,24
4709514,43,prior,3,0,11,30
4707206,43,prior,4,6,8,13
4706605,43,prior,5,0,8,15
4705867,43,prior,6,1,20,8
4705793,43,prior,7,1,8,30
4705263,43,prior,8,5,17,18
4704723,43,prior,9,4,14,6
4704286,43,prior,10,5,16,22
4703984,43,train,11,2,11,7
4703125,44,prior,1,6,8,
4702478,44,prior,2,0,10,15
4702437,44,train,3,0,9,7
4701805,45,prior,1,0,20,
4701447,45,test,2,0,16,14
4701209,46,prior,1,0,16,
4700249,46,prior,2,1,14,9
4700089,46,prior,3,1,20,30
4698876,46,prior,4,5,19,30
4697993,46,train,5,0,15,30
4696664,47,prior,1,2,15,
4695710,47,prior,2,5,11,10
4695279,47,prior,3,5,10,7
4694081,47,prior,4,4,20,6
4694007,47,prior,5,5,9,8
4693375,47,train,6,2,15,11
4693298,48,prior,1,1,13,
4692465,48,prior,2,3,11,30
4692430,48,prior,3,3,9,14
4690845,48,prior,4,3,14,7
4689792,48,prior,5,4,17,8
4689321,48,prior,6,4,17,7
4688592,48,train,7,5,14,8
4688430,49,prior,1,3,9,
4688110,49,prior,2,2,17,6
4687462,49,prior,3,3,8,1
4686665,49,prior,4,5,13,2
4686367,49,prior,5,2,15,4
4685554,49,train,6,4,9,9
4685482,50,prior,1,2,14,
4685387,50,prior,2,3,15,1
4685090,50,prior,3,4,13,5
4684376,50,prior,4,4,15,7
4682967,50,prior,5,5,11,10
4678123,50,prior,6,1,11,3
4672375,50,prior,7,3,9,12
4671234,50,train,8,2,10,3
